Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Europe,None,None,2020-11-29,624478,150746,27786,93672,12680,5425
Europe,None,None,2020-11-30,639236,155669,28703,95885,12793,5601
Europe,None,None,2020-12-01,654459,160742,29648,98169,12910,5784
Europe,None,None,2020-12-02,670145,165953,30619,100522,13031,5971
Europe,None,None,2020-12-03,686278,171274,31612,102942,13155,6162
Europe,None,None,2020-12-04,702826,176661,32621,105424,13283,6355
Europe,None,None,2020-12-05,719796,182115,33646,107969,13416,6550
Europe,None,None,2020-12-06,737243,187688,34694,110586,13552,6750
Europe,None,None,2020-12-07,755199,193412,35770,113280,13692,6955
Europe,None,None,2020-12-08,773678,199295,36875,116052,13837,7166
Europe,None,None,2020-12-09,792672,205318,38007,118901,13985,7381
Europe,None,None,2020-12-10,812152,211442,39160,121823,14139,7601
Europe,None,None,2020-12-11,832065,217601,40324,124810,14296,7821
Europe,None,None,2020-12-12,852425,223803,41501,127864,14458,8043
Europe,None,None,2020-12-13,873296,230115,42700,130994,14625,8268
Europe,None,None,2020-12-14,894676,236528,43919,134201,14797,8497
Europe,None,None,2020-12-15,916555,243028,45158,137483,14973,8730
None,None,None,2020-11-09,408882,75988,13976,61332,11033,2736
None,None,None,2020-11-10,416571,78710,14477,62486,11092,2834
None,None,None,2020-11-11,424559,81556,14999,63684,11153,2936
None,None,None,2020-11-12,432851,84525,15543,64928,11217,3043
None,None,None,2020-11-13,441440,87600,16106,66216,11282,3154
None,None,None,2020-11-14,450300,90744,16683,67545,11350,3267
None,None,None,2020-11-15,459422,93941,17273,68913,11420,3382
None,None,None,2020-11-16,468859,97239,17881,70329,11492,3501
None,None,None,2020-11-17,478640,100669,18513,71796,11567,3625
None,None,None,2020-11-18,488782,104238,19170,73317,11644,3753
None,None,None,2020-11-19,499281,107936,19851,74892,11724,3886
None,None,None,2020-11-20,510120,111734,20550,76518,11806,4023
None,None,None,2020-11-21,521273,115594,21264,78191,11891,4162
None,None,None,2020-11-22,532777,119550,21997,79917,11979,4304
None,None,None,2020-11-23,544670,123637,22754,81701,12070,4451
None,None,None,2020-11-24,556972,127869,23538,83546,12164,4603
None,None,None,2020-11-25,569686,132241,24347,85453,12260,4760
None,None,None,2020-11-26,582803,136734,25179,87420,12360,4922
None,None,None,2020-11-27,596298,141311,26028,89445,12463,5086
None,None,None,2020-11-28,610175,145968,26896,91526,12570,5253
None,None,None,2020-11-29,624478,150746,27786,93672,12680,5425
None,None,None,2020-11-30,639236,155669,28703,95885,12793,5601
None,None,None,2020-12-01,654459,160742,29648,98169,12910,5784
None,None,None,2020-12-02,670145,165953,30619,100522,13031,5971
None,None,None,2020-12-03,686278,171274,31612,102942,13155,6162
None,None,None,2020-12-04,702826,176661,32621,105424,13283,6355
None,None,None,2020-12-05,719796,182115,33646,107969,13416,6550
None,None,None,2020-12-06,737243,187688,34694,110586,13552,6750
None,None,None,2020-12-07,755199,193412,35770,113280,13692,6955
None,None,None,2020-12-08,773678,199295,36875,116052,13837,7166
None,None,None,2020-12-09,792672,205318,38007,118901,13985,7381
None,None,None,2020-12-10,812152,211442,39160,121823,14139,7601
None,None,None,2020-12-11,832065,217601,40324,124810,14296,7821
None,None,None,2020-12-12,852425,223803,41501,127864,14458,8043
None,None,None,2020-12-13,873296,230115,42700,130994,14625,8268
None,None,None,2020-12-14,894676,236528,43919,134201,14797,8497
None,None,None,2020-12-15,916555,243028,45158,137483,14973,8730
